source_sentence,target_sentence
"Ikkeri village Aghoreshwara Temple, in Hoysala-Kadamba architecture, Keladi Nayaka period Ikkeri Location in Karnataka, India Coordinates: 14°08′06″N 75°01′21″E﻿ / ﻿14.1350°N 75.0226°E﻿ / 14.1350; 75.0226Coordinates: 14°08′06″N 75°01′21″E﻿ / ﻿14.1350°N 75.0226°E﻿ / 14.1350; 75.0226 Country India State Karnataka District Sagara Shimoga Government • Type Panchayat raj • Body Gram panchayat Languages • Official Kannada Time zone IST (UTC+5:30) Telephone code 08183 ISO 3166 code IN-KA Vehicle registration KA-15(Sagara) Website karnataka.gov.in ",सर्वकारः • प्रकारः • अङ्गः ISO 3166 code जालस्थानम् 
"Ikkeri (Kannada: ಇಕ್ಕೇರಿ) is situated in Sagara taluk about 6 km to the south of Sagara. The word Ikkeri in Kannada means ""Two Streets"". ",इक्केरि (कन्नड: ಇಕ್ಕೇರಿ) सागरोपमण्डले सागर नगरतः दक्षिण् भागे ६ किलोमीटर् दूरे अस्ति| मार्गद्वयमिति कन्नड भाषायां इक्केरि शब्दस्य अर्थः भवति| 
Nandi mantap ,नन्दि मण्डपः 
Gallery ,चित्रसम्पुटः 
Aghoresvara temple ,अघोरेश्वर देवालयः 
Nayakas of Ikkeri ,केलदी नायकाः 
"Arignar Anna Zoological Park (abbreviated AAZP), also known as the Vandalur Zoo, is a zoological garden located in Vandalur, a suburb in the southwestern part of Chennai, Tamil Nadu, about 31 kilometres (19 mi) from the city centre and 15 kilometres (9.3 mi) from Chennai Airport. It previous location was set up in 1855 and was the first public zoo in India. It is affiliated with the Central Zoo Authority of India.[8] Spread over an area of 602 hectares (1,490 acres), including a 92.45-hectare (228.4-acre) rescue and rehabilitation centre, the park is the largest zoological garden in India. ",vandalur zooपक्षिणःमुदुमलै अभयारण्यम् 
"Vijay Rupani (born 2 August 1956) is an Indian politician from the Bharatiya Janata Party. He is an incumbent Chief Minister of Gujarat, a western state in India, since 7 August 2016[2] and a member of the Gujarat Legislative Assembly representing Rajkot West and presently the state president of the party.[3] ",विजय रूपाणी इत्येषः भारतीयजनतापक्षस्य कश्चन राजनेता । पश्चिमराजकोटस्य प्रतिनिधित्वेन एषः गुजरातविधानसभायाः सदस्यः । २०१६ वर्षस्य अगस्त-मासस्य सप्तमात् (०७/०८/२०१६) सः गुजरातराज्यस्य षोडशमः मुख्यमन्त्रित्वेन कार्यभारम् अङ्ग्यकरोत् ।[2] अद्यत्वे सः भारतीजनातपक्षस्य राज्याध्यक्षः अपि ।[3] 
Early life ,प्रारम्भिकजीवनम् 
"Vijay Rupani was born on 2 August 1956[3] in Rangoon, Burma (now Yangon, Myanmar) to Mayaben and Ramniklal Rupani in a Jain Bania family.[4][5] His family moved to Rajkot in 1960 due to political instability in Burma. He studied Bachelor of Arts from Dharmendrasinhji Arts College and LLB from Saurashtra University.[1][3][6][7] ","१९५६ तमस्य वर्षस्य अगस्तमास्य द्वितीये (०२/०८/१९५६) दिनाङ्के म्यानमार-देशस्य रङ्गून-महानगरेऽभवत् (पुरा, रङ्गून, बर्मा) । [3] तस्य पितुः नाम रमणिकलाल, मातुश्च नाम मयाबेन इति । जैनधर्मस्य [4][5] अनुयायी वणिक् रमणिकलालः सपरिवारं १९६० तमे वर्षे बर्मादेशात् भारतदेशस्य राजकोट-महानगरं प्रति स्थानान्तरणम् अकरोत् । विजयः धर्मेन्द्रसिहमहाविद्यालयाात् स्नातकं, सौराष्ट्रविश्वविद्यालयाच्च एल्. एल्. बी. इत्युपाध्यौ अलभत । [1][3][6][7] "
Career ,वृत्तिः 
Early career ,प्रारम्भिका वृत्तिः 
